Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
239,Eddie Jones\jonesed02,SG,26,LAL,80,2910,18,0.592,0.366,0.304,3.4,8.2,5.9,13.5,2.8,1.3,11.4,19.5,6.8,3.2,10.1,0.166,3.8,0.5,4.3,4.6
240,Popeye Jones\jonespo01,PF,27,TOR,14,352,13.4,0.443,0.024,0.15,15.3,17.2,16.2,8.6,1.5,0.6,10.6,18.9,0.2,0.1,0.3,0.038,-1.5,-2.6,-4.1,-0.2
241,Michael Jordan*\jordami01,SG,34,CHI,82,3181,25.2,0.533,0.067,0.381,4.7,12.5,8.5,18,2.4,1,7.7,33.7,10.4,5.4,15.8,0.238,4.6,0,4.6,5.3
242,Reggie Jordan\jordare01,SG,30,MIN,57,487,15.3,0.515,0.009,0.637,13.4,9.2,11.3,15.1,3.7,1.3,17.2,15.9,0.6,0.5,1.2,0.114,0.5,1.5,2,0.5
243,Adam Keefe\keefead01,C,27,UTA,80,2047,14.5,0.605,0,0.472,11.6,14.8,13.3,6.7,1.4,0.9,12.2,13.2,4.8,1.7,6.5,0.153,1.9,0.4,2.3,2.2
244,Shawn Kemp\kempsh01,PF,28,CLE,80,2769,17.5,0.512,0.007,0.478,9.9,23,16.5,13.6,2.1,2.5,16.1,28,0.9,5.9,6.8,0.118,-1.2,2.8,1.6,2.5
245,Tim Kempton\kemptti01,PF,34,TOT,8,47,-1.4,0.222,0,0,9.2,5,7.2,9.3,1.1,2.9,30.8,12.2,-0.2,0,-0.1,-0.147,-8.8,-0.4,-9.2,-0.1
246,Tim Kempton\kemptti01,PF,34,ORL,3,15,-5.1,0,0,0,0,8,3.9,9.5,0,0,0,6.1,0,0,0,-0.089,-9.7,-1,-10.7,0
247,Tim Kempton\kemptti01,PF,34,TOR,5,32,0.4,0.286,0,0,13.5,3.6,8.8,9.2,1.6,4.3,36.4,15.1,-0.1,0,-0.1,-0.175,-8.3,-0.1,-8.5,-0.1
248,Steve Kerr\kerrst01,PG,32,CHI,50,1119,12.9,0.581,0.43,0.162,1.4,6.5,3.9,13.2,1.3,0.3,7.7,14,2.5,1.2,3.8,0.161,1.2,-1.1,0.1,0.6
249,Jerome Kersey\kerseje01,SF,35,SEA,37,717,12.6,0.447,0.043,0.279,9.5,12.9,11.3,9.6,3.9,1.5,12.1,19.2,0,1.2,1.2,0.079,-2.1,1.8,-0.3,0.3
250,Jason Kidd*\kiddja01,PG,24,PHO,82,3118,16.4,0.502,0.271,0.243,4.1,14.7,9.5,35.6,2.7,0.6,21.5,17.6,3.2,4.8,8,0.123,1.1,2,3.1,4
251,Kerry Kittles\kittlke01,SG,23,NJN,77,2814,17.5,0.525,0.228,0.217,5.1,10.1,7.4,10.6,2.5,1,7.7,21.2,6.2,2.2,8.4,0.144,2.9,0,2.9,3.5
252,Joe Kleine\kleinjo01,C,36,CHI,46,397,5.5,0.408,0,0.17,7.8,14.5,11.1,11.2,0.5,0.9,19.7,16,-0.4,0.5,0.1,0.016,-5.6,-0.2,-5.8,-0.4
253,Brevin Knight\knighbr01,PG,22,CLE,80,2483,17.1,0.515,0.012,0.424,3.4,9.1,6.3,43.7,4.2,0.6,21.6,16.7,3.5,4.9,8.4,0.163,0.7,1.6,2.3,2.7
254,Travis Knight\knightr01,C,23,BOS,74,1503,13.6,0.499,0.126,0.235,10.5,18.8,14.3,10.9,1.8,4.3,15.3,16.4,1.1,1.9,3,0.096,-1.6,2,0.4,0.9
255,Toni Kukoč\kukocto01,SF,29,CHI,74,2235,17.3,0.525,0.207,0.26,6.2,10.6,8.4,23.4,1.8,1.2,14.1,21.9,3.7,3.3,7,0.15,2.2,0.7,2.9,2.8
256,Christian Laettner\laettch01,PF,28,ATL,74,2282,18.5,0.576,0.037,0.485,7.6,17.2,12.6,14.6,1.7,2.2,17.1,21.7,4.6,3,7.5,0.159,1.3,1.3,2.6,2.6
257,Andrew Lang\langan01,C,31,MIL,57,692,8.5,0.452,0.007,0.399,9.8,17.3,13.5,3.5,1.4,2.9,16.4,13.3,-0.1,0.8,0.7,0.047,-4.5,0.4,-4,-0.4
258,Antonio Lang\langan02,SF,25,MIA,6,29,14.9,0.704,0,1.6,8.4,11.8,10.1,5.6,3.8,0,31.9,20.1,0,0,0.1,0.122,-2.4,0.7,-1.7,0
